City,Total Phosphorus,Total Nitrogen
Wetland Pool 25,0.757,0.011
Wetland Pool 22,1.509,0.018
Wetland Pool 01,1.973,0
Wetland Pool 01,6.591,0.093
Wetland Pool 03,1.061,0.015
Wetland Pool 03,0.693127,0
Wetland Pool 02,0.21334,0
Wetland Pool 02,0.358499,0
Wetland Pool 18,0.35,0
Wetland Pool 14,11.79,0.45
Aurand Run downstream,4.54,0
Wetland Pool 01,0.762,0.022
Aurand Run connection to P1,0.982,0.022
Wetland Pool 01,1.992,0
Wetland Pool 02,7.272,0.122
Wetland Pool 20,1.092,0.016
Wetland Pool 18,0.662625,0
Wetland Pool 14,0.220779,0
Wetland Pool 22,0.337236,0
Wetland Pool 38,0.37,0
Wetland Pool 37,0.95,0
Wetland Pool 40,4.7,0
Aurand Run upstream,0,0
Aurand Run connection to P1,0.817,0
Aurand Run downstream,7.74,0.104
Wetland Pool 01,0.983,0.012
Wetland Pool 01,0.677876,0
Wetland Pool 04,0.272056,0
Wetland Pool 05,0.492202,0
Wetland Pool 02,0.43,0
Wetland Pool 07,0.73,0.02
Wetland Pool 08,15.57,0.02
Wetland Pool 09,0,0
Wetland Pool 11,1.184,0.055
Wetland Pool 12,1.154,0.066
Wetland Pool 15,2.485,0.113
Wetland Pool 16,2.339,0.105
Wetland Pool 18,3.237,0.182
Wetland Pool 19,5.075,0.449
Wetland Pool 25,0,0.155
Wetland Pool 24,1.483,0.197
Wetland Pool 21,0,0.185
Wetland Pool 39,0,0.207
Wetland Pool 20,0.963,0.074
Wetland Pool 22,1.021,0.075
Wetland Pool 40,0.014,0
Wetland Pool 41,1.878,0.41
Wetland Pool 30,0.96,0.167
Wetland Pool 29,1.9,0.215
Wetland Pool 28,1.58,0.155
Wetland Pool 31,1.63,0.193
Wetland Pool 42,9.7,0.281
Wetland Pool 36,0,0
Wetland Pool 35,0,0
Wetland Pool 37,0,0
Wetland Pool 38,0,0
Wetland Pool 34,3.332,0.279
Wetland Pool 33,0.188071,0
Wetland Pool 43,0.394685,0
Wetland Pool 27,1.284713,0.114
Wetland Pool 26,0,0.009
Wetland Pool 40,0,0
Wetland Pool 40,1.653387,0.211
Wetland Pool 40,1.431975,0.16
Wetland Pool 40,6.548918,0.791
Wetland Pool 01,0,0
Wetland Pool 01,0,0
Wetland Pool 01,11.94,0.05
Wetland Pool 01,0,0
Wetland Pool 40,0,0
Wetland Pool 40,1.49,0.4
Wetland Pool 01,0,0.15
Wetland Pool 01,0,0
Wetland Pool 01,1.04,0.2
Aurand Run downstream,0.95,0.07
Wetland Pool 01,0.92,0.03
Aurand Run connection to P1,0,0
Wetland Pool 03,0,0
Wetland Pool 02,1,0.03
Wetland Pool 04,0,0
Wetland Pool 06,0,0
Wetland Pool 07,0,0
Wetland Pool 08,1.107,0.098
Wetland Pool 09,1.123,0.099
Wetland Pool 11,1.972,0.152
Wetland Pool 12,5.332,0.69
Wetland Pool 12,0.69,0.056
Wetland Pool 13,6.268,0.542
Wetland Pool 18,0.957,0.06
Aurand Run downstream,0.79,0.057
Wetland Pool 01,0.564,0.046
Aurand Run connection to P1,2.536,0.142
Wetland Pool 05,0.416,0.068
Wetland Pool 10,4.471,0.445
Wetland Pool 15,1.378629,0.054
Wetland Pool 16,1.831751,0.131
Wetland Pool 19,2.161226,0.129
Wetland Pool 17,2.057969,0.109
Wetland Pool 14,1.64,0.1
Wetland Pool 13,1.86,0.15
Wetland Pool 12,1.08,0.19
Aurand Run upstream,1.22,0.15
Wetland Pool 25,0,0
Wetland Pool 40,5.152,0.268
Wetland Pool 35,0.759,0.065
Wetland Pool 38,5.204,0.626
Wetland Pool 37,0.824,0.091
Wetland Pool 36,3.155,0.163
Wetland Pool 42,2.408968,0.317
Wetland Pool 30,1.03,0.1
Wetland Pool 22,5.86,0.91
Wetland Pool 39,2.134,0.154
Wetland Pool 21,0.647,0.028
Wetland Pool 20,2.463,0.15
Wetland Pool 01,0.504,0.071
Wetland Pool 01,3.313,0.187
Wetland Pool 01,3.654108,0.333
Wetland Pool 01,0.75,0.06
Wetland Pool 01,6.46,1.16
Wetland Pool 01,3.474,0.444
Wetland Pool 40,0.699,0.179
Wetland Pool 40,4.26,0.42
Wetland Pool 01,1.546713,0.108
Wetland Pool 01,2.009323,0.176
Wetland Pool 01,2.191188,0.136
Wetland Pool 02,2.920108,0.267
Wetland Pool 06,1.97,0.17
Wetland Pool 04,2.43,0.21
Wetland Pool 05,0.93,0.19
Wetland Pool 09,0,0
Wetland Pool 08,0.666,0.045
Wetland Pool 12,1.53,0.46
Wetland Pool 15,2.965,0.128
Wetland Pool 13,0.74,0.088
Wetland Pool 14,0.84,0.14
Wetland Pool 18,1.953,0.159
Wetland Pool 19,0.81,0.065
Aurand Run connection to P1,0.559,0.052
Aurand Run downstream,1.097,0.09
Aurand Run upstream,4.469,0.437
Wetland Pool 25,3.300922,0.507
Wetland Pool 24,12.95108,1.503
Wetland Pool 21,0.99,0.05
Wetland Pool 39,3.64,0.43
Wetland Pool 22,0.455,0.065
Wetland Pool 29,0.638,0.044
Wetland Pool 28,2.854,0.102
Wetland Pool 30,1.967646,0.13
Wetland Pool 41,2.37,0.39
Wetland Pool 31,0.833,0.072
Wetland Pool 42,1.613,0.08
Wetland Pool 43,0.78,0.085
Wetland Pool 35,6.487,0.884
Wetland Pool 37,2.712,0.157
Wetland Pool 38,0.589,0.034
Wetland Pool 34,3.085,0.286
Wetland Pool 33,1.858,0.157
Wetland Pool 27,0.815,0.043
Wetland Pool 26,0.691,0.073
Wetland Pool 40,0.8,0.108
Wetland Pool 20,1.176,0.084
Wetland Pool 20,1.789,0.077
Wetland Pool 40,0.484,0.093
Wetland Pool 40,2.537,0.07
Wetland Pool 40,1.213434,0.04
Wetland Pool 26,1.160394,0.077
Wetland Pool 25,2.23291,0.261
Wetland Pool 21,2.003361,0.168
Wetland Pool 39,1.49,0.08
Wetland Pool 28,1.51,0.09
Wetland Pool 29,0.79,0.09
Wetland Pool 41,1.12,0.06
Wetland Pool 30,0,0
Wetland Pool 31,0.124,0.078
Wetland Pool 42,0.723,0.074
Wetland Pool 38,2.587,0.083
Wetland Pool 34,0.911942,0.029
Wetland Pool 33,1.896164,0.183
Wetland Pool 35,5.231225,0.642
Wetland Pool 43,4.73,0.38
Wetland Pool 27,0.68,0.02
Wetland Pool 01,1.55,0.1
Wetland Pool 01,1.004,0.054
Aurand Run downstream,1.003,1.049
Wetland Pool 01,1.665,0.329
Aurand Run connection to P1,0,0
Wetland Pool 04,0,0
Wetland Pool 06,0.12,0
Wetland Pool 08,0.17,0
Wetland Pool 12,0,0
Wetland Pool 13,0,0
Wetland Pool 18,0,0
Wetland Pool 19,0,0
Wetland Pool 09,0,0
Aurand Run upstream,0,0
Wetland Pool 01,0,0
Wetland Pool 01,0,0
Aurand Run downstream,0,0
Wetland Pool 01,0,0
Wetland Pool 01,0,0
Aurand Run connection to P1,0.875,0.216
Wetland Pool 12,0.734,0.055
Wetland Pool 18,2.385,0.089
Wetland Pool 19,1.837988,0.071
Wetland Pool 09,1.5,0.126
Wetland Pool 04,0.724,0.036
Aurand Run upstream,0.941,0.042
Wetland Pool 20,0.704,0.232
Wetland Pool 20,0.731,0.054
Wetland Pool 25,5.18,0.456
Wetland Pool 40,1.96,0.25
Wetland Pool 21,0.744,0.292
Wetland Pool 39,4.193,0.162
Wetland Pool 29,3.365,0.598
Wetland Pool 41,0.794,0.077
Wetland Pool 30,0.704,0.067
Wetland Pool 42,2.143,0.127
Wetland Pool 35,2.040609,0.264
Wetland Pool 34,0.77,0.08
Wetland Pool 33,0.68,0.06
Wetland Pool 43,1.005,0.051
Wetland Pool 26,3.654,0.221
Aurand Run downstream,1.168732,0.072
Wetland Pool 01,1.08,0.037
Aurand Run connection to P1,1.984818,0.166
Wetland Pool 18,1.731821,0.13
Wetland Pool 18,1.54,0.13
Wetland Pool 19,1.47,0.11
Wetland Pool 09,0.72,0.06
Wetland Pool 09,0,0
Wetland Pool 04,0.633,0.12
Wetland Pool 04,6.764,0.26
Aurand Run upstream,4.967966,0.326
Wetland Pool 20,0.924,0.412
